简短名 (Read-Only),寄存器路径,索引,公式 (例如 D100*2),滑动平均窗口 (0禁用)
铣一档压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,200,D200/32767*25,0
铣二档压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,201,D201/32767*160,0
附件放松压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,202,D202/32767*25,0
附件拉紧压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,203,D203/32767*160,0
铣刀放松压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,204,D204/32767*100,0
进给润滑压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,205,D205/32767*25,0
铣主轴冷却压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,206,D206/32767*25,0
污油箱液位,/MACHINE/CONTROLLER/VARIABLE@REG_D,207,D207/32767*750,0
污油箱温度,/MACHINE/CONTROLLER/VARIABLE@REG_D,208,D208/32767*100-20,0
净油箱液位,/MACHINE/CONTROLLER/VARIABLE@REG_D,209,D209/32767*750,0
净油箱温度,/MACHINE/CONTROLLER/VARIABLE@REG_D,210,D210/32767*100-20,0
车一档压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,211,D211/32767*60,0
车二档压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,212,D212/32767*60,0
车变速箱润滑压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,213,D213/32767*10,0
车主轴轴承润滑压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,214,D214/32767*10,0
工作台夹紧压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,215,D215/32767*60,0
污油箱液位,/MACHINE/CONTROLLER/VARIABLE@REG_D,216,D216/32767*750,0
污油箱温度,/MACHINE/CONTROLLER/VARIABLE@REG_D,217,D217/32767*100-20,0
净油箱液位,/MACHINE/CONTROLLER/VARIABLE@REG_D,218,D218/32767*750,0
净油箱温度,/MACHINE/CONTROLLER/VARIABLE@REG_D,219,D219/32767*100-20,0
工作台底座分油器压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,220,D220/26214*60,0
X轴多头泵压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,221,D221/26214*25,0
Z轴多头泵压力,/MACHINE/CONTROLLER/VARIABLE@REG_D,222,D222/26214*25,0
